NOMBRES,TOTAL
CLARA,"4,920"
ERLINDA,"4,915"
YESSICA,"4,912"
EUGENIO,"4,873"
EMERITA,"4,872"
VIDAL,"4,834"
AMALIA,"4,826"
DELIA,"4,825"
JAIRO,"4,808"
GEOVANY,"4,778"
BALTAZAR,"4,754"
FIDELINA,"4,744"
JAZMIN,"4,731"
ROMEO,"4,514"
MARIANO,"4,503"
DALILA,"4,493"
ISAI,"4,386"
LUCILA,"4,375"
DELMI,"4,375"
WILMER,"4,367"
MAIRA,"4,352"
EUNICE,"4,343"
ARACELI,"4,341"
ELVA,"4,340"
JANETH,"4,338"
OTONIEL,"4,319"
JENNY,"4,304"
REYES,"4,295"
IVANIA,"4,267"
PORFIRIO,"4,264"
PAZ,"4,263"
GILMA,"4,253"
TRINIDAD,"4,234"
ILIANA,"4,187"
RUDY,"4,169"
AMPARO,"4,148"
CORINA,"4,111"
ARIEL,"4,102"
NATALIA,"4,071"
EVANGELINA,"4,070"
DOMINGA,"4,065"
ZULEYMA,"4,051"
JULIAN,"4,048"
EDELMIRA,"4,043"
GEOVANNI,"4,032"
VICENTA,"4,027"
NELLY,"4,020"
OLIVIA,"4,018"
JEREMIAS,"3,997"
AMERICA,"3,986"
TULIO,"3,967"
REMBERTO,"3,952"
RUBIDIA,"3,927"
ARGENTINA,"3,875"
LUCIO,"3,870"
ROSALINA,"3,844"
LAZARO,"3,817"
FERMIN,"3,776"
DIGNA,"3,774"
JASMIN,"3,752"
DEISY,"3,745"
HERMINIA,"3,738"
IGNACIO,"3,732"
LEONIDAS,"3,728"
REINALDO,"3,723"
OTILIA,"3,690"
MEDARDO,"3,682"
JOSSELYN,"3,669"
SEBASTIAN,"3,650"
NERY,"3,638"
JULISSA,"3,632"
ARMIDA,"3,607"
ASTRID,"3,588"
MARIANA,"3,584"
ENMA,"3,575"
ANABEL,"3,545"
NEHEMIAS,"3,530"
NOHEMI,"3,528"
YANCI,"3,524"
RAMIRO,"3,500"
GRICELDA,"3,431"
YANCY,"3,423"
GREGORIA,"3,421"
MARCELINO,"3,419"
SANTANA,"3,402"
YESICA,"3,394"
DENNIS,"3,389"
ERNESTINA,"3,372"
ESTEFANI,"3,369"
AUGUSTO,"3,357"
MARTINA,"3,329"
ANGELINA,"3,316"
ELIA,"3,280"
ALIRIO,"3,258"
WILSON,"3,233"
GERTRUDIS,"3,231"
FREDIS,"3,230"
BERNARDO,"3,207"
AMADEO,"3,204"
AGUSTINA,"3,192"
ARGELIA,"3,168"
MARLENI,"3,150"
MARGOTH,"3,143"
YOSELIN,"3,141"
YENI,"3,141"
MAXIMILIANO,"3,127"
ENA,"3,121"
OSVALDO,"3,097"
IRVIN,"3,095"
OBDULIO,"3,095"
OLIMPIA,"3,090"
CANDELARIO,"3,088"
JENNIFFER,"3,072"
CRISTABEL,"3,064"
NUBIA,"3,063"
SULMA,"3,063"
YANET,"3,057"
NICOLASA,"3,046"
MARTIR,"3,045"
BRAYAN,"3,043"
ENMANUEL,"3,032"
HERBERT,"3,025"
JOCELYN,"3,017"
KELVIN,"2,994"
JEANETH,"2,968"
DEL SOCORRO,"2,962"
CARLA,"2,958"
MAGALY,"2,958"
TEODORA,"2,952"
YAMILET,"2,939"
CORALIA,"2,930"
STEVEN,"2,891"
ELI,"2,861"
FELIPA,"2,849"
ADILIA,"2,806"
FABRICIO,"2,804"
TELMA,"2,794"
NATALY,"2,697"
NURIA,"2,691"
VIRGILIO,"2,669"
RITA,"2,642"
MARCELINA,"2,640"
MARIELOS,"2,616"
VALENTIN,"2,613"
JACKELINE,"2,602"
RUBIA,"2,601"
ADELINA,"2,590"
DARWIN,"2,575"
FEDERICO,"2,568"
DAISY,"2,555"
REGINA,"2,549"
ALEXI,"2,544"
JAQUELINE,"2,543"
WILIAN,"2,541"
VANESA,"2,539"
RUFINO,"2,534"
VIOLETA,"2,520"
NORBERTO,"2,510"
ELVIS,"2,507"
SALVADORA,"2,490"
VALERIA,"2,472"
ALBERTINA,"2,467"
XENIA,"2,467"
MARGARITO,"2,466"
BERTHA,"2,464"
NATHALY,"2,454"
PETRONILA,"2,443"
ARQUIMIDES,"2,433"
RHINA,"2,432"
OLINDA,"2,422"
LILIAM,"2,416"
EDILBERTO,"2,416"
ESTEBANA,"2,405"
ENCARNACION,"2,400"
LUCAS,"2,400"
SIMON,"2,398"
MARCELO,"2,393"
TITO,"2,390"
EMMANUEL,"2,382"
ESTEFANIA,"2,357"
ELVIA,"2,353"
JOSSELINE,"2,343"
ODILIA,"2,336"
EDMUNDO,"2,312"
ADILIO,"2,306"
HELEN,"2,287"
FELICIANO,"2,284"
EVELIO,"2,268"
ELOISA,"2,266"
EDIS,"2,266"
BENEDICTO,"2,257"
ERMELINDA,"2,247"
BAUTISTA,"2,238"
EMELINA,"2,237"
JIMMY,"2,236"
DOMITILA,"2,224"
CECILIO,"2,221"
ELENILSON,"2,215"
GLORIBEL,"2,203"
MORIS,"2,199"
CARLOTA,"2,189"
RUTILIO,"2,180"
GEORGINA,"2,179"
SIGFREDO,"2,177"
YENY,"2,167"
YENIFER,"2,160"
ROSAURA,"2,155"
TEODORO,"2,155"
BORIS,"2,148"
MARILYN,"2,140"
MARCIAL,"2,133"
CECIBEL,"2,128"
JONATAN,"2,125"
RONAL,"2,124"
BERNARDA,"2,124"
ADIEL,"2,121"
PAULINA,"2,112"
DELFINA,"2,109"
GENARO,"2,108"
ENOC,"2,085"
NARCISO,"2,067"
PASTOR,"2,052"
YOVANI,"2,041"
LEOPOLDO,"2,039"
EUSEBIO,"2,030"
EMELY,"2,029"
CRISTELA,"2,023"
BESSY,"2,021"
OSMAR,"2,019"
KATERIN,"2,019"
FERNANDA,"2,013"
MATIAS,"2,011"
YOHANA,"1,991"
LISANDRO,"1,989"
BERTILA,"1,988"
RAFAELA,"1,988"
ZONIA,"1,975"
SINDY,"1,965"
ODIR,"1,963"
ELEAZAR,"1,955"
FAUSTO,"1,952"
KRISSIA,"1,951"
SULEYMA,"1,947"
KATIA,"1,946"
LINDA,"1,942"
NIDIA,"1,938"
MODESTO,"1,929"
MARDOQUEO,"1,925"
YAJAIRA,"1,920"
PAMELA,"1,910"
ROSMERY,"1,895"
ELIZABET,"1,885"
MAURO,"1,884"
DEL PILAR,"1,877"
YAQUELIN,"1,877"
ETELVINA,"1,875"
JACOBO,"1,872"
JEOVANY,"1,869"
ISELA,"1,865"
NELY,"1,859"
ROMAN,"1,859"
ERASMO,"1,858"
JEOVANNY,"1,857"
SOLEDAD,"1,842"
FAUSTINO,"1,841"
BERENICE,"1,841"
RONALDO,"1,836"
JOSELINE,"1,828"
HERBERTH,"1,827"
GEOVANI,"1,823"
OBED,"1,818"
EDUVIGES,"1,807"
NATANAEL,"1,806"
LEYDI,"1,800"
HORTENCIA,"1,797"
PILAR,"1,793"
ADONIS,"1,781"
LORENZA,"1,777"
GERBER,"1,776"
SALOME,"1,775"
EVELIA,"1,772"
STEFFANY,"1,763"
ROGER,"1,757"
LIZBETH,"1,750"
KATYA,"1,748"
HILARIO,"1,746"
DARIO,"1,741"
JEAMILETH,"1,740"
ELSI,"1,737"
GISELA,"1,734"
DAYANA,"1,733"
PAULINO,"1,733"
FLORINDA,"1,731"
FILOMENA,"1,718"
VICTORINA,"1,717"
FIDELIA,"1,716"
AURORA,"1,708"
MAGALI,"1,705"
INOCENTE,"1,700"
ANDERSON,"1,694"
YOVANY,"1,684"
ABELINO,"1,677"
PRISCILA,"1,675"
JHONATAN,"1,675"
MIRTALA,"1,675"
RUBENIA,"1,673"
URSULA,"1,662"
CANDIDO,"1,659"
RONY,"1,659"
ROSALIA,"1,655"
NAHUM,"1,655"
CELSO,"1,655"
MILENA,"1,650"
ROSALBA,"1,650"
WILLIAMS,"1,644"
SUYAPA,"1,636"
FABIOLA,"1,617"
MAXIMO,"1,611"
YURI,"1,608"
SEBASTIANA,"1,589"
ROQUE,"1,589"
HORTENSIA,"1,576"
MERLIN,"1,574"
LIZZETTE,"1,571"
ERIC,"1,569"
KELLY,"1,567"
ELDA,"1,558"
DALIA,"1,556"
ARMINDA,"1,553"
JACQUELINNE,"1,542"
FABIO,"1,537"
ERICKA,"1,529"
MATEO,"1,525"
MARILIN,"1,517"
JAMILETH,"1,514"
BENITO,"1,508"
ADELAIDA,"1,496"
ERCILIA,"1,493"
ANITA,"1,492"
LIGIA,"1,490"
ESTANISLAO,"1,482"
FRANCIS,"1,478"
HEIDY,"1,477"
LYDIA,"1,472"
ELVIN,"1,472"
GODOFREDO,"1,471"
NICOLE,"1,466"
KIMBERLY,"1,464"
JENIFER,"1,459"
AMADO,"1,459"
NERIS,"1,457"
HENRRY,"1,454"
ANTONIETA,"1,445"
EULALIO,"1,437"
NAHUN,"1,431"
SABINA,"1,430"
KATHERINNE,"1,429"
ANTHONY,"1,426"
RUFINA,"1,423"
BERNABE,"1,422"
CRISTINO,"1,420"
LUCIANO,"1,407"
APARICIO,"1,405"
ROSENDO,"1,399"
MAGDALENO,"1,398"
KENY,"1,387"
VALENTINA,"1,381"
CATALINO,"1,375"
LESLIE,"1,372"
GUILLERMINA,"1,372"
NEFTALY,"1,366"
ILEANA,"1,365"
ARCIDES,"1,360"
EULALIA,"1,359"
ISIDRA,"1,356"
EUSEBIA,"1,353"
ISAURA,"1,350"
DILIA,"1,349"
MANUELA,"1,348"
ASUNCION,"1,348"
HERLINDA,"1,347"
CAMILO,"1,347"
ERIK,"1,343"
LINO,"1,337"
ALEJANDRINA,"1,337"
HAZEL,"1,336"
ABRAHAN,"1,332"
AUDELIA,"1,328"
FREDI,"1,326"
DILMA,"1,322"
XAVIER,"1,321"
ZULEIMA,"1,308"
PEDRINA,"1,307"
ABNER,"1,306"
KENNY,"1,306"
NAUN,"1,306"
IDANIA,"1,303"
ROSALIO,"1,298"
HORACIO,"1,298"
JACINTO,"1,296"
HIPOLITO,"1,295"
PASTORA,"1,294"
THELMA,"1,293"
CLEOTILDE,"1,291"
DUGLAS,"1,290"
GERALDINA,"1,288"
BENIGNO,"1,282"
CARINA,"1,281"
DINORAH,"1,279"
JEANMILLETTE,"1,278"
CLELIA,"1,276"
DIONICIO,"1,272"
BYRON,"1,264"
ISOLINA,"1,259"
ISAMAR,"1,258"
MELANY,"1,254"
SELENA,"1,253"
ABELARDO,"1,252"
BRANDON,"1,251"
HEIDI,"1,250"
DANY,"1,247"
RUDIS,"1,247"
ASCENCION,"1,245"
YONATAN,"1,243"
ANSELMO,"1,243"
CAMILA,"1,242"
HERBER,"1,241"
ROSELIA,"1,240"
AURA,"1,240"
JERONIMO,"1,232"
MADAI,"1,232"
SERAFIN,"1,231"
JOAQUINA,"1,227"
AMERICO,"1,225"
ELIEZER,"1,224"
OSEAS,"1,224"
MARJORIE,"1,223"
HERMINIO,"1,221"
HERSON,"1,212"
MANRIQUE,"1,210"
SELVIN,"1,197"
JOSSELIN,"1,193"
BRISEYDA,"1,192"
DE LOS SANTOS,"1,188"
STEPHANY,"1,187"
FLORA,"1,185"
NATALI,"1,183"
CELESTINO,"1,182"
MARILY,"1,181"
ELISABETH,"1,176"
RAYMUNDO,"1,175"
GEREMIAS,"1,171"
SOCORRO,"1,170"
ISRRAEL,"1,170"
GAMALIEL,"1,166"
VENTURA,"1,163"
HEYDI,"1,158"
DILCIA,"1,156"
SATURNINO,"1,151"
EMANUEL,"1,145"
NOELIA,"1,143"
VICTORIANO,"1,141"
MIREYA,"1,140"
ALEYDA,"1,137"
GENOVEVA,"1,132"
FABIAN,"1,127"
ABELINA,"1,127"
LISSET,"1,125"
DE DIOS,"1,122"
CARMELA,"1,111"
EVARISTO,"1,107"
EDGARD,"1,104"
FLORENTINO,"1,103"
FELICITO,"1,102"
ADILSON,"1,099"
ELIO,"1,098"
JOSELYN,"1,097"
MERARI,"1,090"
JENIFFER,"1,090"
SABINO,"1,088"
VICTORINO,"1,088"
NARCISA,"1,087"
LINA,"1,085"
SILVESTRE,"1,077"
OSMARO,"1,076"
SIMEON,"1,074"
CALIXTO,"1,073"
WILIAM,"1,072"
FLORENTINA,"1,070"
IVON,"1,067"
STEVE,"1,067"
JHONY,"1,067"
ONEYDA,"1,062"
CARMELINA,"1,061"
JEANNETH,"1,060"
FLORENCIA,"1,059"
NIEVES,"1,055"
DIONISIO,"1,047"
MARGOT,"1,043"
RAMONA,"1,043"
LEIDY,"1,041"
CHRISTOPHER,"1,039"
AUXILIADORA,"1,038"
OCTAVIO,"1,036"
CLEMENTE,"1,033"
STEPHANNIE,"1,032"
DEL MILAGRO,"1,032"
MARILI,"1,031"
INMER,"1,030"
EXEQUIEL,"1,024"
ADEMIR,"1,023"
PAUL,"1,020"
MICHAEL,"1,018"
DELMIRA,"1,018"
ROMELIA,"1,016"
WALBERTO,"1,013"
CORNELIO,"1,011"
IGNACIA,"1,008"
ALDAIR,"1,007"
LUCRECIA,"1,006"
BETTY,"1,006"
JOSELIN,"1,002"
EUFEMIA,"1,000"
VITELIO,999
ARCADIA,999
JEFFERSON,997
NILSON,993
IDALMA,993
GUMERCINDA,992
KATHERIN,992
AURELIA,991
ILDA,991
ALTAGRACIA,988
TIMOTEO,986
BUENAVENTURA,985
MAXIMINO,983
BLAS,975
JULIANA,974
GALILEO,972
HEBER,963
ERICA,961
LESLY,957
AURELIO,954
DE DOLORES,954
CESIA,954
KATHYA,952
AYDEE,951
OSIRIS,951
DE LOURDES,950
WENDI,946
LEONARDA,945
ABILIO,944
KEIRY,944
EDWARD,942
KATERINE,940
DOROTEA,937
SORAYA,935
FREDYS,931
BETY,930
FLORENCIO,930
HERMELINDA,929
WILL,928
BERNARDINO,926
SABRINA,925
MARLIN,922
ROMULO,916
DENISSE,915
CLEMENTINA,915
BAUDILIO,913
EMILIANO,913
ARCENIO,909
JUSTO,907
NUVIA,906
MELISA,899
LEVI,899
LISSETT,899
AQUILINO,898
ENRRIQUE,898
DENYS,898
ERIBERTO,898
EULISES,895
AARON,894
SIMONA,894
CRISTHIAN,893
ALCIRA,893
ENRIQUETA,892
EMELI,891
CELSA,889
JEIMY,889
DAMIAN,887
CATARINO,887
ELY,885
DANIA,885
ADELIO,884
SIXTO,882
MARIXA,876
CIPRIANO,876
URIEL,874
VERENICE,874
ISMELDA,874
FERMINA,873
ELIAZAR,872
JACINTA,870
JANET,868
LUCINDA,866
DE MERCEDES,865
RAIMUNDO,864
FAUSTINA,863
BRIAN,861
ELADIO,859
MODESTA,857
AQUILES,857
WILBERT,855
JEANETTE,854
BOANERGES,854
ABISAI,850
PATRICIO,849
GRECIA,849
DELMIS,849
YONI,849
ARCADIO,847
BERSABE,847
BRISEIDA,845
YOSELYN,844
CIRO,844
MARCIA,843
JOVEL,842
ELETICIA,841
SANDY,840
ROMILIA,838
YOSSELIN,838
JACOB,837
LIDUVINA,834
MAX,831
ODALIS,829
TRANCITO,828
SAIRA,827
ADELSO,827
SUGEY,826
ALISSON,825
LEANDRO,822
LILIBETH,821
ISIDORO,820
ISIDORA,819
ALDO,818
BALBINA,816
MAXIMA,815
AMADA,814
YSABEL,812
DE LAS MERCEDES,811
JHONNY,810
IBETH,810
YANSI,810
BARTOLO,809
ENEYDA,808
FLORIDALMA,806
FILADELFO,801
GENESIS,800
KATY,800
HIGINIO,798
TEOFILO,798
YUDITH,795
MORELIA,792
PASCUAL,791
BARBARA,790
ALVA,789
YENIS,788
DEMETRIO,787
DEBORA,785
NATHALIE,781
MIRELLA,779
GUMERCINDO,779
IRVING,778
YENNY,778
ALEXIA,774
MADELIN,774
ANASTACIO,773
HILARIA,770
FELICIANA,769
MARICRUZ,768
YOHALMO,767
MELBA,767
EVANGELISTA,766
NURY,766
BALBINO,765
LEON,764
ANNA,762
GIOVANNY,762
FLORENTIN,760
TONY,758
NERI,757
RENEE,753
MELANI,753
LILA,753
NORIS,752
JERSON,749
GABINO,748
DONALDO,748
SANTA,747
ZENAIDA,747
LOIDA,745
ELEUTERIO,743
ELIEZAR,742
DE LA LUZ,741
LOYDA,740
ANDY,739
INGRIS,734
ARSENIO,734
OTILIO,734
VINICIO,732
JAEL,731
BALMORIS,731
GLENDY,731
LEA,729
CELESTINA,728
BARTOLA,727
ULICES,727
SARAHI,726
GISELLE,725
WENCESLAO,725
UBALDO,724
LISET,722
BARTOLOME,721
HENRI,719
MICHELL,718
EDY,715
YEIMY,714
BENITA,710
VENANCIO,710
BILLY,706
HAYDE,705
DOROTEO,705
FIDENCIO,704
NELIS,701
NIXON,701
BERNARDINA,701
CAYETANO,700
LARISSA,698
MYRNA,698
JONAS,698
MANFREDO,697
JAQUELIN,697
OLIVERIO,696
ROBIN,696
YARITZA,696
WILMAN,695
ALAN,693
STEFANI,692
SOILA,689
ASAEL,686
TOBIAS,686
ISIS,685
LUCIANA,683
YONY,682
MARBIN,682
MAYNOR,681
RUTILIA,681
DIONICIA,680
TORIBIO,680
DONATILA,679
RENATO,678
SARBELIO,674
ADALI,672
GIL,672
RUBI,671
SIFREDO,670
DENNYS,669
JUVENTINA,669
URANIA,669
MERARY,667
ROSENDA,665
ANASTACIA,663
ESTENIA,663
CORDELIA,662
GILDA,658
CLOTILDE,658
BRIGIDA,658
STEFANIE,657
HERMES,657
EDUARDA,656
YENSI,653
BELLA,650
CLAUDIO,647
DEL TRANCITO,646
OLIVER,646
KENYA,643
HAROLD,640
ISMENIA,639
ELIU,637
ELIGIO,636
SEGUNDO,636
DANNY,636
ELISABET,635
ANIVAL,634
ADELIA,633
LEODAN,633
TEODOLINDA,633
YECENIA,632
ABIMAEL,632
DARLIN,630
CEFERINO,629
ELEONORA,628
BASILIA,628
YOBANI,628
HERMOGENES,628
WIL,626
BASILIO,624
ORALIA,623
APOLONIA,622
SAMAEL,622
ORFA,616
MADELINE,613
ZULEMA,612
DEISI,611
BERONICA,609
ADONAI,606
GERONIMO,605
JOSAEL,604
MERLYN,599
BAYRON,599
NANCI,599
MELVA,596
ASTUL,595
PRUDENCIO,595
ROMEL,595
MARINO,595
BONIFACIO,594
SABAS,594
FELICITAS,592
BRAULIO,591
GRACIA,591
FREDDY,589
YEIMI,588
BETSABE,587
SILVERIO,587
